ts,open,high,low,close,volume
1767683100000,138.67,138.82,138.67,138.78,3840.94
1767683400000,138.76,138.76,138.57,138.57,1757.91
1767683700000,138.59,138.73,138.36,138.36,4825.71
1767684000000,138.4,138.41,137.84,137.92,5550.78
1767684300000,137.92,138.03,137.68,137.86,8723.33
1767684600000,137.88,137.88,137.54,137.81,15528.58
1767684900000,137.77,137.83,137.45,137.46,12808.55
1767685200000,137.47,137.64,137.46,137.54,7547.78
1767685500000,137.59,137.59,137.34,137.46,7416.5
1767685800000,137.44,137.8,137.28,137.69,74855.86
1767686100000,137.69,137.76,137.49,137.54,7228.73
1767686400000,137.55,137.88,137.54,137.82,5075.28
1767686700000,137.82,138.07,137.78,137.93,3640.34
1767687000000,137.96,137.98,137.82,137.82,2176.39
1767687300000,137.85,137.95,137.75,137.79,2010.34
1767687600000,137.8,137.88,137.73,137.77,1073.29
1767687900000,137.79,137.89,137.61,137.77,8556.07
1767688200000,137.78,137.78,137.55,137.72,1564.08
1767688500000,137.71,137.71,137.6,137.65,652.39
1767688800000,137.66,137.72,137.55,137.62,2629.12
1767689100000,137.64,137.66,137.35,137.52,2019.81
1767689400000,137.5,137.76,137.43,137.67,3178.22
1767689700000,137.66,137.67,137.55,137.55,571.03
1767690000000,137.56,137.85,137.46,137.78,12703.44
1767690300000,137.82,138.06,137.74,137.81,4006.47
1767690600000,137.77,137.95,137.76,137.95,803.66
1767690900000,137.96,138.28,137.96,138.21,8674.74
1767691200000,138.21,138.24,138.12,138.24,976.34
1767691500000,138.24,138.24,138.07,138.07,768.45
1767691800000,138.07,138.22,138.02,138.02,1473.93
1767692100000,138.06,138.12,137.99,138.03,1128.47
1767692400000,138.03,138.25,138.03,138.24,402.22
1767692700000,138.23,138.28,138.14,138.23,1589.69
1767693000000,138.24,138.36,138.14,138.26,1006.56
1767693300000,138.2,138.24,137.67,137.69,7532.55
1767693600000,137.7,137.78,137.36,137.71,3758.77
1767693900000,137.71,137.74,137.58,137.73,1652.21
1767694200000,137.73,137.99,137.63,137.89,2773.34
1767694500000,137.88,137.92,137.75,137.75,2620.88
1767694800000,137.74,137.84,137.6,137.79,5505.67
1767695100000,137.79,137.92,137.79,137.9,5971.74
1767695400000,137.87,138.05,137.82,138.02,5613.14
1767695700000,138.02,138.04,137.96,138.02,5632.15
1767696000000,138.01,138.03,137.93,138.0,3511.94
1767696300000,137.99,138.05,137.95,137.98,627.42
1767696600000,138.0,138.0,137.85,137.88,1437.08
1767696900000,137.88,137.88,137.64,137.66,1808.05
1767697200000,137.68,137.93,137.6,137.88,6830.97
1767697500000,137.84,138.05,137.77,138.04,2483.11
1767697800000,138.05,138.83,138.05,138.56,33195.97
1767698100000,138.57,138.74,138.36,138.62,6204.42
1767698400000,138.63,138.92,138.56,138.77,3868.48
1767698700000,138.77,138.86,138.72,138.86,2620.38
1767699000000,138.83,138.94,138.68,138.93,3362.79
1767699300000,138.85,139.4,138.85,139.2,5317.82
