ts_iso,ts,last_price,paper_qty,paper_avg_px,realized,unrealized,equity
2025-11-21T05:30:00+05:30,1763683200000,85391.4,0.010874,85408.47828,-5.513880653952866,-0.18570921672001675,9994.300410129328
2025-11-20T05:30:00+05:30,1763596800000,86601.3,0.010721999999999999,86618.62026,-5.443256324912865,-0.18570782771992644,9994.371035847367
2025-11-20T05:30:00+05:30,1763596800000,86601.3,0.008771,86618.62026,-3.7116702868568963,-0.15191600045993983,9996.136413712684
2025-11-20T05:30:00+05:30,1763596800000,86601.3,0.008771,86618.62026,-3.7116702868568963,-0.15191600045993983,9996.136413712684
2025-11-20T05:30:00+05:30,1763596800000,86601.3,0.008771,86618.62026,-3.7116702868568963,-0.15191600045993983,9996.136413712684
2025-11-20T05:30:00+05:30,1763596800000,86601.3,0.008771,86618.62026,-3.7116702868568963,-0.15191600045993983,9996.136413712684
2025-11-20T05:30:00+05:30,1763596800000,86601.3,0.008771,86618.62026,-3.7116702868568963,-0.15191600045993983,9996.136413712684
2025-11-20T05:30:00+05:30,1763596800000,86601.3,0.010721999999999999,86618.62026,-5.443256324912865,-0.18570782771992644,9994.371035847367
2025-11-20T05:30:00+05:30,1763596800000,86601.3,0.010721999999999999,86618.62026,-5.443256324912865,-0.18570782771992644,9994.371035847367
2025-11-20T05:30:00+05:30,1763596800000,86601.3,0.010721999999999999,86618.62026,-5.443256324912865,-0.18570782771992644,9994.371035847367
2025-11-20T05:30:00+05:30,1763596800000,86601.3,0.010721999999999999,86618.62026,-5.443256324912865,-0.18570782771992644,9994.371035847367
2025-11-20T05:30:00+05:30,1763596800000,86601.3,0.010721999999999999,86618.62026,-5.443256324912865,-0.18570782771992644,9994.371035847367
2025-11-20T05:30:00+05:30,1763596800000,86601.3,0.008771,86618.62026,-3.7116702868568963,-0.15191600045993983,9996.136413712684
2025-11-20T05:30:00+05:30,1763596800000,86601.3,0.010721999999999999,86618.62026,-5.443256324912865,-0.18570782771992644,9994.371035847367
2025-11-20T05:30:00+05:30,1763596800000,86601.3,0.010721999999999999,86618.62026,-5.443256324912865,-0.18570782771992644,9994.371035847367
2025-11-20T05:30:00+05:30,1763596800000,86601.3,0.010721999999999999,86618.62026,-5.443256324912865,-0.18570782771992644,9994.371035847367
2025-11-20T05:30:00+05:30,1763596800000,86601.3,0.010721999999999999,86618.62026,-5.443256324912865,-0.18570782771992644,9994.371035847367
2025-11-20T05:30:00+05:30,1763596800000,86601.3,0.010721999999999999,86618.62026,-5.443256324912865,-0.18570782771992644,9994.371035847367
2025-11-20T05:30:00+05:30,1763596800000,86601.3,0.010721999999999999,86618.62026,-5.443256324912865,-0.18570782771992644,9994.371035847367
2025-11-20T05:30:00+05:30,1763596800000,86601.3,0.010721999999999999,86618.62026,-5.443256324912865,-0.18570782771992644,9994.371035847367
2025-11-21T05:30:00+05:30,1763683200000,85093.5,0.008927,85110.5187,-3.7711759737586252,-0.15192593490000478,9996.07689809134
2025-11-21T05:30:00+05:30,1763683200000,85093.5,0.010912999999999999,85110.5187,-5.53246326099867,-0.18572507310000583,9994.2818116659
2025-11-21T05:30:00+05:30,1763683200000,85093.5,0.008927,85110.5187,-3.7711759737586252,-0.15192593490000478,9996.07689809134
2025-11-21T05:30:00+05:30,1763683200000,85093.5,0.010912999999999999,85110.5187,-5.53246326099867,-0.18572507310000583,9994.2818116659
2025-11-21T05:30:00+05:30,1763683200000,85093.5,0.010912999999999999,85110.5187,-5.53246326099867,-0.18572507310000583,9994.2818116659
2025-11-21T05:30:00+05:30,1763683200000,85093.5,0.008927,85110.5187,-3.7711759737586252,-0.15192593490000478,9996.07689809134
2025-11-21T05:30:00+05:30,1763683200000,85111.0,0.01091,85128.0222,-5.53068673071291,-0.18571220200007316,9994.283601067287
2025-11-21T05:30:00+05:30,1763683200000,85111.0,0.01091,85128.0222,-5.53068673071291,-0.18571220200007316,9994.283601067287
2025-11-21T05:30:00+05:30,1763683200000,85111.0,0.008924999999999999,85128.0222,-3.770346705744937,-0.15192313500005983,9996.077730159255
2025-11-21T05:30:00+05:30,1763683200000,85111.0,0.01091,85128.0222,-5.53068673071291,-0.18571220200007316,9994.283601067287
2025-11-21T05:30:00+05:30,1763683200000,85111.0,0.01091,85128.0222,-5.53068673071291,-0.18571220200007316,9994.283601067287
2025-11-21T05:30:00+05:30,1763683200000,85111.0,0.01091,85128.0222,-5.53068673071291,-0.18571220200007316,9994.283601067287
2025-11-24T05:30:00+05:30,1763942400000,88232.0,0.008609,88249.6464,-3.6501766235428397,-0.15191785759998117,9996.197905518857
2025-11-26T05:30:00+05:30,1764115200000,87278.0,0.010639,87295.4556,-5.404781201211223,-0.18571012840001214,9994.40950867039
2025-11-30T05:30:00+05:30,1764460800000,90326.0,0.01028,90344.0652,-5.238076625043839,-0.18571025599997198,9994.576213118955
2025-12-01T05:30:00+05:30,1764547200000,86216.0,0.01077,86233.2432,-5.46558799221864,-0.1857092639999694,9994.34870274378
