dt,pred_bps,S_top,S_bot,ts_iso,open,high,low,close,volume,S_mood,p_down,p_neutral,p_up,s_model,s_model_meta,s_model_bma,model_source,bma_w_base,bma_w_prob,pred_bma_bps,dir,alpha,funding,funding_stale,position,exec_resp
2025-11-20 05:30:00+05:30,700.2137084709213,-2.9515614187580404e-07,0.0,2025-11-20T05:30:00+05:30,91509.0,93150.0,86066.6,86601.3,276513.027,-2.9515614187580404e-07,0.060334593180847,0.8050407548728521,0.1346246519463008,0.0742900587654537,0.0742900587654537,0.0742900587654537,bma,1.0,0.0,742.9005876545377,1,0.0742900587654537,0.0,False,0.0371450293827268,"{""dry_run"": true, ""side"": ""BUY"", ""qty"": 0.010721999999999999, ""price"": 86618.62026, ""mid_price"": 86601.3, ""exch_qty"": 0.0, ""target_qty"": 0.010722999938432475, ""delta_qty"": 0.010722999938432475, ""paper_qty"": 0.010721999999999999, ""paper_avg_px"": 86618.62026, ""realized_pnl"": -5.443256324912865, ""unrealized_pnl"": 0.0, ""fee"": 0.46436242321385995, ""impact"": 4.9788939016990055}"
2025-11-21 05:30:00+05:30,701.3082438346038,0.0,0.0,2025-11-21T05:30:00+05:30,86601.4,87465.4,85288.0,85391.4,67697.745,0.0,0.060334593180847,0.8050407548728521,0.1346246519463008,0.0742900587654537,0.0742900587654537,0.0742900587654537,bma,1.0,0.0,742.9005876545377,1,0.0742900587654537,0.0,True,0.0371450293827268,"{""dry_run"": true, ""side"": ""BUY"", ""qty"": 0.010874, ""price"": 85408.47828, ""mid_price"": 85391.4, ""exch_qty"": 0.0, ""target_qty"": 0.010874932775058991, ""delta_qty"": 0.010874932775058991, ""paper_qty"": 0.010874, ""paper_avg_px"": 85408.47828, ""realized_pnl"": -5.513880653952866, ""unrealized_pnl"": 0.0, ""fee"": 0.46436589640835996, ""impact"": 5.0495147575445065}"
2025-11-24 05:30:00+05:30,607.7254702397523,5.772328098875013e-06,0.0,2025-11-24T05:30:00+05:30,86807.0,89165.0,85231.0,88232.0,51784.47511,5.772328098875013e-06,0.0721581580236008,0.7949111369288231,0.132930705047576,0.0607725470239752,0.0607725470239752,0.0607725470239752,bma,1.0,0.0,607.7254702397523,1,0.0607725470239752,7.1414e-06,False,0.0303862735119876,"{""dry_run"": true, ""side"": ""BUY"", ""qty"": 0.008609, ""price"": 88249.6464, ""mid_price"": 88232.0, ""exch_qty"": 0.0, ""target_qty"": 0.008609765592978628, ""delta_qty"": 0.008609765592978628, ""paper_qty"": 0.008609, ""paper_avg_px"": 88249.6464, ""realized_pnl"": -3.6501766235428397, ""unrealized_pnl"": 0.0, ""fee"": 0.3798706029288, ""impact"": 3.2703060206140395}"
2025-11-26 05:30:00+05:30,742.9005876545377,0.0,0.0,2025-11-26T05:30:00+05:30,87331.0,88232.0,86847.0,87278.0,6628.0704,0.0,0.060334593180847,0.8050407548728521,0.1346246519463008,0.0742900587654537,0.0742900587654537,0.0742900587654537,bma,1.0,0.0,742.9005876545377,1,0.0742900587654537,0.0,True,0.0371450293827268,"{""dry_run"": true, ""side"": ""BUY"", ""qty"": 0.010639, ""price"": 87295.4556, ""mid_price"": 87278.0, ""exch_qty"": 0.0, ""target_qty"": 0.010639860383695458, ""delta_qty"": 0.010639860383695458, ""paper_qty"": 0.010639, ""paper_avg_px"": 87295.4556, ""realized_pnl"": -5.404781201211223, ""unrealized_pnl"": 0.0, ""fee"": 0.4643681760642, ""impact"": 4.940413025147023}"
