ts_iso,ts,address,coin,side,price,size
2025-11-21T16:03:01.633000+05:30,1763721181633,0x023a3d058020fb76cca98f01b3c48c8938a22355,BTC,buy,82444.0,0.05898
2025-11-21T16:03:30.281000+05:30,1763721210281,0x023a3d058020fb76cca98f01b3c48c8938a22355,BTC,buy,82449.0,0.05194
2025-11-21T16:03:31.454000+05:30,1763721211454,0x023a3d058020fb76cca98f01b3c48c8938a22355,BTC,sell,82447.0,0.01984
2025-11-21T16:03:38.690000+05:30,1763721218690,0x023a3d058020fb76cca98f01b3c48c8938a22355,BTC,buy,82537.0,0.64832
2025-11-21T16:03:45.435000+05:30,1763721225435,0x023a3d058020fb76cca98f01b3c48c8938a22355,BTC,buy,82576.0,0.65413
2025-11-21T16:03:45.435000+05:30,1763721225435,0x023a3d058020fb76cca98f01b3c48c8938a22355,BTC,buy,82576.0,0.58559
2025-11-21T16:03:45.435000+05:30,1763721225435,0x023a3d058020fb76cca98f01b3c48c8938a22355,BTC,buy,82578.0,0.58387
2025-11-21T16:03:45.435000+05:30,1763721225435,0x023a3d058020fb76cca98f01b3c48c8938a22355,BTC,buy,82581.0,0.17807
2025-11-21T16:03:47.893000+05:30,1763721227893,0x023a3d058020fb76cca98f01b3c48c8938a22355,BTC,buy,82578.0,0.07431
2025-11-21T16:03:48.308000+05:30,1763721228308,0x023a3d058020fb76cca98f01b3c48c8938a22355,BTC,buy,82583.0,0.00947
2025-11-21T16:03:58.032000+05:30,1763721238032,0x023a3d058020fb76cca98f01b3c48c8938a22355,BTC,buy,82558.0,0.07519
2025-11-21T16:03:58.032000+05:30,1763721238032,0x023a3d058020fb76cca98f01b3c48c8938a22355,BTC,buy,82559.0,0.0084
2025-11-21T16:03:58.340000+05:30,1763721238340,0x023a3d058020fb76cca98f01b3c48c8938a22355,BTC,buy,82564.0,0.00975
2025-11-21T16:03:58.340000+05:30,1763721238340,0x023a3d058020fb76cca98f01b3c48c8938a22355,BTC,buy,82564.0,0.06456
2025-11-21T16:03:58.340000+05:30,1763721238340,0x023a3d058020fb76cca98f01b3c48c8938a22355,BTC,buy,82565.0,0.07315
2025-11-21T16:03:58.340000+05:30,1763721238340,0x023a3d058020fb76cca98f01b3c48c8938a22355,BTC,buy,82568.0,0.23755
2025-11-21T16:03:59.043000+05:30,1763721239043,0x023a3d058020fb76cca98f01b3c48c8938a22355,BTC,buy,82569.0,0.00067
2025-11-21T16:04:02.160000+05:30,1763721242160,0x023a3d058020fb76cca98f01b3c48c8938a22355,BTC,buy,82561.0,0.00955
2025-11-21T16:04:06.359000+05:30,1763721246359,0x023a3d058020fb76cca98f01b3c48c8938a22355,BTC,buy,82647.0,0.01117
2025-11-21T16:04:06.359000+05:30,1763721246359,0x023a3d058020fb76cca98f01b3c48c8938a22355,BTC,buy,82647.0,0.01
2025-11-21T16:04:07.302000+05:30,1763721247302,0x023a3d058020fb76cca98f01b3c48c8938a22355,BTC,buy,82664.0,0.02792
2025-11-21T16:04:07.302000+05:30,1763721247302,0x023a3d058020fb76cca98f01b3c48c8938a22355,BTC,buy,82664.0,0.04561
2025-11-21T16:04:07.302000+05:30,1763721247302,0x023a3d058020fb76cca98f01b3c48c8938a22355,BTC,buy,82667.0,0.57103
2025-11-21T16:04:07.302000+05:30,1763721247302,0x023a3d058020fb76cca98f01b3c48c8938a22355,BTC,buy,82667.0,0.07288
2025-11-21T16:04:07.302000+05:30,1763721247302,0x023a3d058020fb76cca98f01b3c48c8938a22355,BTC,buy,82668.0,0.07566
2025-11-21T16:04:07.302000+05:30,1763721247302,0x023a3d058020fb76cca98f01b3c48c8938a22355,BTC,buy,82669.0,0.07246
2025-11-21T16:04:07.302000+05:30,1763721247302,0x023a3d058020fb76cca98f01b3c48c8938a22355,BTC,buy,82669.0,0.57719
2025-11-21T16:04:07.302000+05:30,1763721247302,0x023a3d058020fb76cca98f01b3c48c8938a22355,BTC,buy,82670.0,0.07263
2025-11-21T16:04:07.302000+05:30,1763721247302,0x023a3d058020fb76cca98f01b3c48c8938a22355,BTC,buy,82671.0,0.57006
2025-11-21T16:04:07.302000+05:30,1763721247302,0x023a3d058020fb76cca98f01b3c48c8938a22355,BTC,buy,82671.0,0.07289
2025-11-21T16:04:07.302000+05:30,1763721247302,0x023a3d058020fb76cca98f01b3c48c8938a22355,BTC,buy,82672.0,0.07543
2025-11-21T16:04:07.302000+05:30,1763721247302,0x023a3d058020fb76cca98f01b3c48c8938a22355,BTC,buy,82673.0,0.57331
2025-11-21T16:04:07.302000+05:30,1763721247302,0x023a3d058020fb76cca98f01b3c48c8938a22355,BTC,buy,82676.0,0.65513
2025-11-21T16:04:09.965000+05:30,1763721249965,0x023a3d058020fb76cca98f01b3c48c8938a22355,BTC,buy,82684.0,0.0729
2025-11-21T16:04:10.317000+05:30,1763721250317,0x023a3d058020fb76cca98f01b3c48c8938a22355,BTC,buy,82685.0,0.07535
2025-11-21T16:04:10.317000+05:30,1763721250317,0x023a3d058020fb76cca98f01b3c48c8938a22355,BTC,buy,82686.0,0.07401
2025-11-21T16:04:10.317000+05:30,1763721250317,0x023a3d058020fb76cca98f01b3c48c8938a22355,BTC,buy,82687.0,0.07286
2025-11-21T16:04:10.317000+05:30,1763721250317,0x023a3d058020fb76cca98f01b3c48c8938a22355,BTC,buy,82688.0,0.07318
2025-11-21T16:04:10.317000+05:30,1763721250317,0x023a3d058020fb76cca98f01b3c48c8938a22355,BTC,buy,82689.0,0.07566
2025-11-21T16:04:10.317000+05:30,1763721250317,0x023a3d058020fb76cca98f01b3c48c8938a22355,BTC,buy,82690.0,0.07488
2025-11-21T16:04:10.317000+05:30,1763721250317,0x023a3d058020fb76cca98f01b3c48c8938a22355,BTC,buy,82691.0,0.07263
2025-11-21T16:04:10.317000+05:30,1763721250317,0x023a3d058020fb76cca98f01b3c48c8938a22355,BTC,buy,82691.0,0.63927
2025-11-21T16:04:10.317000+05:30,1763721250317,0x023a3d058020fb76cca98f01b3c48c8938a22355,BTC,buy,82692.0,0.07298
2025-11-21T16:04:10.317000+05:30,1763721250317,0x023a3d058020fb76cca98f01b3c48c8938a22355,BTC,buy,82695.0,0.64143
2025-11-21T16:04:11.926000+05:30,1763721251926,0x023a3d058020fb76cca98f01b3c48c8938a22355,BTC,buy,82699.0,0.00867
2025-11-21T16:04:12.146000+05:30,1763721252146,0x023a3d058020fb76cca98f01b3c48c8938a22355,BTC,buy,82700.0,0.04579
2025-11-21T16:04:12.295000+05:30,1763721252295,0x023a3d058020fb76cca98f01b3c48c8938a22355,BTC,buy,82700.0,0.00025
2025-11-21T16:04:12.461000+05:30,1763721252461,0x023a3d058020fb76cca98f01b3c48c8938a22355,BTC,buy,82700.0,0.00037
2025-11-21T16:04:12.461000+05:30,1763721252461,0x023a3d058020fb76cca98f01b3c48c8938a22355,BTC,buy,82700.0,0.00451
2025-11-21T16:04:15.019000+05:30,1763721255019,0x023a3d058020fb76cca98f01b3c48c8938a22355,BTC,sell,82632.0,0.07543
2025-11-21T16:04:15.019000+05:30,1763721255019,0x023a3d058020fb76cca98f01b3c48c8938a22355,BTC,sell,82630.0,0.07316
