ts_iso,ts,window_ms,addresses,results_count
2025-11-21T16:35:00+05:30,1763723100000,600000,174,219
2025-11-21T16:35:00+05:30,1763723100000,600000,174,16
2025-11-21T16:35:00+05:30,1763723100000,600000,174,281
2025-11-21T16:35:00+05:30,1763723100000,600000,174,67
2025-11-21T16:35:00+05:30,1763723100000,600000,174,175
2025-11-21T16:35:00+05:30,1763723100000,600000,174,202
2025-11-21T16:35:00+05:30,1763723100000,600000,174,21
2025-11-21T16:35:00+05:30,1763723100000,600000,174,52
2025-11-21T16:35:00+05:30,1763723100000,600000,174,0
2025-11-21T16:35:00+05:30,1763723100000,600000,174,0
2025-11-21T16:40:00+05:30,1763723400000,600000,174,67
2025-11-21T16:40:00+05:30,1763723400000,600000,174,163
2025-11-21T16:40:00+05:30,1763723400000,600000,174,165
2025-11-21T16:40:00+05:30,1763723400000,600000,174,240
2025-11-21T16:40:00+05:30,1763723400000,600000,174,97
2025-11-21T16:40:00+05:30,1763723400000,600000,174,148
2025-11-21T16:40:00+05:30,1763723400000,600000,174,209
2025-11-21T16:40:00+05:30,1763723400000,600000,174,0
2025-11-21T16:40:00+05:30,1763723400000,600000,174,0
2025-11-21T16:40:00+05:30,1763723400000,600000,174,6
2025-11-21T16:40:00+05:30,1763723400000,600000,174,0
2025-11-21T16:45:00+05:30,1763723700000,600000,174,177
2025-11-21T16:45:00+05:30,1763723700000,600000,174,224
2025-11-21T16:45:00+05:30,1763723700000,600000,174,292
2025-11-21T16:45:00+05:30,1763723700000,600000,174,352
2025-11-21T16:45:00+05:30,1763723700000,600000,174,72
2025-11-21T16:45:00+05:30,1763723700000,600000,174,0
2025-11-21T16:45:00+05:30,1763723700000,600000,174,126
2025-11-21T16:45:00+05:30,1763723700000,600000,174,0
2025-11-21T16:45:00+05:30,1763723700000,600000,174,0
2025-11-21T16:45:00+05:30,1763723700000,600000,174,0
2025-11-21T16:45:00+05:30,1763723700000,600000,174,0
2025-11-21T16:50:00+05:30,1763724000000,600000,174,1
2025-11-21T16:50:00+05:30,1763724000000,600000,174,41
2025-11-21T16:50:00+05:30,1763724000000,600000,174,70
2025-11-21T16:50:00+05:30,1763724000000,600000,174,6
2025-11-21T16:50:00+05:30,1763724000000,600000,174,33
2025-11-21T16:50:00+05:30,1763724000000,600000,174,3
2025-11-21T16:50:00+05:30,1763724000000,600000,174,69
2025-11-21T16:50:00+05:30,1763724000000,600000,174,235
2025-11-21T16:50:00+05:30,1763724000000,600000,174,0
2025-11-21T16:50:00+05:30,1763724000000,600000,174,84
2025-11-21T16:50:00+05:30,1763724000000,600000,174,0
2025-11-21T16:55:00+05:30,1763724300000,600000,174,371
2025-11-21T16:55:00+05:30,1763724300000,600000,174,51
2025-11-21T16:55:00+05:30,1763724300000,600000,174,67
2025-11-21T16:55:00+05:30,1763724300000,600000,174,215
2025-11-21T16:55:00+05:30,1763724300000,600000,174,228
2025-11-21T16:55:00+05:30,1763724300000,600000,174,200
2025-11-21T16:55:00+05:30,1763724300000,600000,174,49
2025-11-21T16:55:00+05:30,1763724300000,600000,174,0
2025-11-21T16:55:00+05:30,1763724300000,600000,174,0
2025-11-21T16:55:00+05:30,1763724300000,600000,174,0
2025-11-21T16:55:00+05:30,1763724300000,600000,174,0
2025-11-21T17:00:00+05:30,1763724600000,600000,174,2
2025-11-21T17:00:00+05:30,1763724600000,600000,174,87
2025-11-21T17:00:00+05:30,1763724600000,600000,174,69
2025-11-21T17:00:00+05:30,1763724600000,600000,174,2
2025-11-21T17:00:00+05:30,1763724600000,600000,174,11
