ts,open,high,low,close,volume
1767895200000,138.8,138.81,138.46,138.66,8466.27
1767895500000,138.64,138.96,138.46,138.96,10775.64
1767895800000,138.95,139.05,138.25,138.29,7880.73
1767896100000,138.26,138.73,138.19,138.73,6657.28
1767896400000,138.74,138.85,138.48,138.48,2061.77
1767896700000,138.47,138.96,138.46,138.93,7067.5
1767897000000,138.93,139.24,138.64,138.68,22502.28
1767897300000,138.69,138.87,138.6,138.63,4295.97
1767897600000,138.6,138.63,138.22,138.29,23785.17
1767897900000,138.29,138.5,138.22,138.43,11741.79
1767898200000,138.43,138.49,138.24,138.32,2323.06
1767898500000,138.3,138.3,137.95,138.13,4652.67
1767898800000,138.16,138.33,137.87,138.25,6820.86
1767899100000,138.24,138.47,138.1,138.18,6353.61
1767899400000,138.15,138.15,137.88,137.89,3137.59
1767899700000,137.88,137.88,137.27,137.47,17990.28
1767900000000,137.47,137.7,137.44,137.58,2736.34
1767900300000,137.57,137.65,137.52,137.6,2598.43
1767900600000,137.6,138.27,137.59,138.27,11104.64
1767900900000,138.21,138.42,138.1,138.3,4717.02
1767901200000,138.29,138.29,138.03,138.04,16864.57
1767901500000,138.05,138.1,137.66,137.71,8868.93
1767901800000,137.73,138.13,137.73,137.95,3332.09
1767902100000,137.94,137.94,137.42,137.59,19739.31
1767902400000,137.53,137.56,136.93,137.08,27559.51
1767902700000,137.07,137.14,136.7,136.8,14491.83
1767903000000,136.84,137.15,136.81,137.08,10816.7
1767903300000,137.08,137.1,136.82,136.89,6819.5
1767903600000,136.9,137.08,136.76,136.79,4696.19
1767903900000,136.8,136.87,136.59,136.8,4048.41
1767904200000,136.81,137.09,136.81,137.06,15706.25
1767904500000,137.07,137.43,137.07,137.33,7827.75
1767904800000,137.34,137.42,137.22,137.32,4118.66
1767905100000,137.31,137.52,137.31,137.42,2887.55
1767905400000,137.39,137.69,137.25,137.6,4802.55
1767905700000,137.59,137.88,137.5,137.8,31858.42
1767906000000,137.75,138.08,137.75,138.05,12415.26
1767906300000,138.06,138.34,138.06,138.13,8653.51
1767906600000,138.12,138.26,138.0,138.18,2540.31
1767906900000,138.19,138.24,137.92,138.02,6026.68
1767907200000,138.03,138.1,137.9,138.0,4900.8
1767907500000,138.0,138.14,137.96,138.07,2699.61
1767907800000,138.08,138.24,138.04,138.24,1118.0
1767908100000,138.24,138.94,138.23,138.85,12458.63
1767908400000,138.85,139.08,138.75,138.9,7344.65
1767908700000,138.9,139.06,138.82,138.98,6674.14
1767909000000,138.99,139.28,138.98,139.25,17202.19
1767909300000,139.24,139.91,139.24,139.65,48125.18
1767909600000,139.68,140.06,139.57,139.77,41904.22
1767909900000,139.73,140.13,139.62,139.82,18291.84
1767910200000,139.81,140.14,139.74,140.04,15062.06
1767910500000,140.04,140.16,139.73,139.93,17558.35
1767910800000,139.91,140.02,139.79,139.92,3915.95
1767911100000,139.89,139.94,139.5,139.57,8313.53
1767911400000,139.57,139.62,139.31,139.39,20393.88
1767911700000,139.39,139.41,138.28,138.37,180845.45
1767912000000,138.37,138.73,138.34,138.65,16615.06
1767912300000,138.65,138.95,138.65,138.85,3658.59
1767912600000,138.85,138.98,138.85,138.89,1777.5
1767912900000,138.89,139.03,138.77,138.89,7325.96
1767913200000,138.91,139.03,138.72,138.78,18506.47
1767913500000,138.78,139.21,138.78,138.98,7338.07
1767913800000,138.98,138.98,138.68,138.72,42664.84
1767914100000,138.72,138.83,138.64,138.74,7195.93
1767914400000,138.73,138.8,138.63,138.64,2262.71
